B_mean,B_mean_sq_over_B2_mean,B_rms,count,cube_id,dBB,deltaB,deltaB_sq_over_B2_mean,direction,maximum,median,p90,p_value,q_name
0.8803566098213196,0.8783842325210571,0.9393259882926941,29,L640_sub02822,0.3720940053462982,0.3275754153728485,0.12161577492952347,parallel,1.6073091368867625,1.2972555665444123,1.515587060884841,3.0,u
0.8803566098213196,0.8783842325210571,0.9393259882926941,29,L640_sub02822,0.3720940053462982,0.3275754153728485,0.12161577492952347,xi,1.2996611087436107,1.126886094469929,1.214614909849385,3.0,u
0.8803566098213196,0.8783842325210571,0.9393259882926941,29,L640_sub02822,0.3720940053462982,0.3275754153728485,0.12161577492952347,lambda,1.4779938835757973,1.1866567072911396,1.3343542804846036,3.0,u
0.8803566098213196,0.8783842325210571,0.9393259882926941,29,L640_sub02822,0.3720940053462982,0.3275754153728485,0.12161577492952347,parallel,11.963885871503603,2.443423656513746,7.918912425404176,4.0,B
0.8803566098213196,0.8783842325210571,0.9393259882926941,29,L640_sub02822,0.3720940053462982,0.3275754153728485,0.12161577492952347,xi,10.467182701936883,1.5549815547461474,5.721483220834054,4.0,B
0.8803566098213196,0.8783842325210571,0.9393259882926941,29,L640_sub02822,0.3720940053462982,0.3275754153728485,0.12161577492952347,lambda,3.101040416656718,1.3751985675271017,2.391175165149544,4.0,B
0.8803566098213196,0.8783842325210571,0.9393259882926941,29,L640_sub02822,0.3720940053462982,0.3275754153728485,0.12161577492952347,parallel,2.912292574773354,1.5742056039202776,2.1066134914291745,4.0,u
0.8803566098213196,0.8783842325210571,0.9393259882926941,29,L640_sub02822,0.3720940053462982,0.3275754153728485,0.12161577492952347,xi,1.587215826189938,1.2510526347696542,1.5012643112651638,4.0,u
0.8803566098213196,0.8783842325210571,0.9393259882926941,29,L640_sub02822,0.3720940053462982,0.3275754153728485,0.12161577492952347,lambda,1.912065236904737,1.2833474941112997,1.5708009478252598,4.0,u
0.8803566098213196,0.8783842325210571,0.9393259882926941,29,L640_sub02822,0.3720940053462982,0.3275754153728485,0.12161577492952347,parallel,48.92037197971538,3.5895678408528697,23.147265357559355,5.0,B
0.8803566098213196,0.8783842325210571,0.9393259882926941,29,L640_sub02822,0.3720940053462982,0.3275754153728485,0.12161577492952347,xi,24.792313982163652,1.7487239749005785,8.717729810386427,5.0,B
0.8803566098213196,0.8783842325210571,0.9393259882926941,29,L640_sub02822,0.3720940053462982,0.3275754153728485,0.12161577492952347,lambda,5.2994215009863685,1.3771604085674303,3.738821623699865,5.0,B
0.8803566098213196,0.8783842325210571,0.9393259882926941,29,L640_sub02822,0.3720940053462982,0.3275754153728485,0.12161577492952347,parallel,7.8780722475553695,1.9630477188588658,3.3175328052237374,5.0,u
0.8803566098213196,0.8783842325210571,0.9393259882926941,29,L640_sub02822,0.3720940053462982,0.3275754153728485,0.12161577492952347,xi,2.319459036124515,1.4430693163007582,2.0049926938060083,5.0,u
0.8803566098213196,0.8783842325210571,0.9393259882926941,29,L640_sub02822,0.3720940053462982,0.3275754153728485,0.12161577492952347,lambda,3.0588615551679936,1.5129010146289406,2.1784358053373696,5.0,u
0.8803566098213196,0.8783842325210571,0.9393259882926941,29,L640_sub02822,0.3720940053462982,0.3275754153728485,0.12161577492952347,parallel,215.3669571840861,4.059691703162464,70.77422342693673,6.0,B
0.8803566098213196,0.8783842325210571,0.9393259882926941,29,L640_sub02822,0.3720940053462982,0.3275754153728485,0.12161577492952347,xi,55.626252345206936,1.8008385920687722,12.590055926330098,6.0,B
0.8803566098213196,0.8783842325210571,0.9393259882926941,29,L640_sub02822,0.3720940053462982,0.3275754153728485,0.12161577492952347,lambda,11.65775117337532,1.3547157608330256,7.444038246105164,6.0,B
0.8803566098213196,0.8783842325210571,0.9393259882926941,29,L640_sub02822,0.3720940053462982,0.3275754153728485,0.12161577492952347,parallel,25.199072527230545,2.5755174295259824,6.177291250064702,6.0,u
0.8803566098213196,0.8783842325210571,0.9393259882926941,29,L640_sub02822,0.3720940053462982,0.3275754153728485,0.12161577492952347,xi,3.7635652265424007,1.7085434546071738,2.7450213220704764,6.0,u
0.8803566098213196,0.8783842325210571,0.9393259882926941,29,L640_sub02822,0.3720940053462982,0.3275754153728485,0.12161577492952347,lambda,6.0930553052516405,1.8408159123515984,3.680822392900833,6.0,u
0.7543922662734985,0.8783751726150513,0.8049283027648926,21,L640_sub03026,0.3721097707748413,0.28071674704551697,0.12162481993436813,parallel,1.5476865117776561,1.0848302876937495,1.3801562383658252,1.0,B
0.7543922662734985,0.8783751726150513,0.8049283027648926,29,L640_sub03026,0.3721097707748413,0.28071674704551697,0.12162481993436813,xi,1.3333553090884671,1.0953195192318,1.256808212883067,1.0,B
0.7543922662734985,0.8783751726150513,0.8049283027648926,29,L640_sub03026,0.3721097707748413,0.28071674704551697,0.12162481993436813,lambda,1.4398375705596083,1.1671573526197154,1.359965129784045,1.0,B
0.7543922662734985,0.8783751726150513,0.8049283027648926,21,L640_sub03026,0.3721097707748413,0.28071674704551697,0.12162481993436813,parallel,1.3129927335061915,1.1235127324838534,1.250646466209772,1.0,u
0.7543922662734985,0.8783751726150513,0.8049283027648926,29,L640_sub03026,0.3721097707748413,0.28071674704551697,0.12162481993436813,xi,1.2917469460416142,1.1499282400975854,1.2609127624782825,1.0,u
0.7543922662734985,0.8783751726150513,0.8049283027648926,29,L640_sub03026,0.3721097707748413,0.28071674704551697,0.12162481993436813,lambda,1.1717743160727068,1.0867906454606169,1.1572913337631487,1.0,u
0.7543922662734985,0.8783751726150513,0.8049283027648926,21,L640_sub03026,0.3721097707748413,0.28071674704551697,0.12162481993436813,parallel,2.0408792729860497,1.1919899585441553,1.7451516710590858,2.0,B
0.7543922662734985,0.8783751726150513,0.8049283027648926,29,L640_sub03026,0.3721097707748413,0.28071674704551697,0.12162481993436813,xi,2.177469693686358,1.252360293705685,1.8143489853908807,2.0,B
0.7543922662734985,0.8783751726150513,0.8049283027648926,29,L640_sub03026,0.3721097707748413,0.28071674704551697,0.12162481993436813,lambda,2.065966194327386,1.369522400366756,1.8641804398802124,2.0,B
