conditioning_factor,cube_id,direction,ell_cells,pair_local_accepted_measurements,pair_local_curve_value,pair_local_over_subvolume_mean,q_name,representative_cube,subvolume_mean_accepted_measurements,subvolume_mean_curve_value,supported_comparison
1.0110203828937934,L640_sub00370,xi,206.89792169086667,1470,0.043609295095718,0.989099742121667,u,True,1515,0.04408988622540124,True
1.0231754825752264,L640_sub00370,xi,220.14654210320907,1464,0.042300090138289385,0.9773494547417261,u,True,1539,0.04328041514021982,True
1.0783186305449648,L640_sub00370,xi,234.13777995018233,1362,0.0418416938055606,0.9273696768965367,u,True,1502,0.04511867796409384,True
1.0035032014348595,L640_sub00370,xi,249.1294844051984,1341,0.04704251722883593,0.9965090281427598,u,True,1377,0.04720731664269139,True
1.1178297255549228,L640_sub00370,xi,265.12167018182424,1282,0.04593551634324221,0.8945906314162215,u,True,1353,0.05134808562719011,True
1.045106735978146,L640_sub00370,xi,282.35660077285246,1271,0.05017376095725267,0.9568400676932491,u,True,1363,0.05243693554578208,True
1.1833414509036215,L640_sub00370,xi,300.85004570383563,1168,0.043765319371420926,0.8450646254607083,u,True,1303,0.051789316524237614,True
1.0244294592378043,L640_sub00370,xi,315.46037786067524,579,0.05270735797574112,1.0244294592378043,u,True,960,0.051450451273586405,True
1.258247875765569,L640_sub00370,lambda,33.98529093593286,2667,0.0262872083263381,0.7947559612541046,u,True,2539,0.03307582403642189,True
1.255157106098555,L640_sub00370,lambda,35.98610843089316,2514,0.024722260460900324,0.7967130131687914,u,True,1492,0.031030320896318374,True
1.2007860325743775,L640_sub00370,lambda,38.22956970723055,2541,0.029061426979463168,0.8327878346953201,u,True,2601,0.03489655560361955,True
1.1800754392755572,L640_sub00370,lambda,40.7308237088326,2481,0.03200160717510048,0.8474034512690946,u,True,1547,0.03776431064468052,True
1.2160120750201013,L640_sub00370,lambda,43.23193264243457,2546,0.03369213327283807,0.822360254920552,u,True,2577,0.040970040892957624,True
1.3383754523049112,L640_sub00370,lambda,45.97553697348189,2529,0.03182145182985758,0.7471744929853795,u,True,2553,0.04258904998578458,True
1.1909091823681301,L640_sub00370,lambda,48.977035434987286,2521,0.03569427232404347,0.8396945920019644,u,True,2530,0.04250863666865198,True
1.2687914921714394,L640_sub00370,lambda,52.22068555658763,2621,0.035987733124040466,0.7881515648316467,u,True,2528,0.04566092961031884,True
1.266274235111952,L640_sub00370,lambda,55.72252686302013,2563,0.037467252135898806,0.7897183503157903,u,True,2493,0.04744381604013191,True
1.2201013510724426,L640_sub00370,lambda,59.22415047934415,2511,0.04159152059120403,0.8196040428289189,u,True,2486,0.050745870466485356,True
